Best parameters: {'reshape': (14, 14)}
###############
# Start with test set
###############
0.102: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 0]
0.102: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 0]
0.102: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 0]
0.099: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 0]
0.121: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 1000]
0.121: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 1000]
0.121: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 1000]
0.094: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 1000]
0.104: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 2000]
0.104: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 2000]
0.104: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 2000]
0.097: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 2000]
0.106: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 3000]
0.106: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 3000]
0.106: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 3000]
0.089: KNN(distance_measure=EuclideanDistanceMeasure, k_nearest=1, reshape=(14, 14)) [skip: 3000]
0.107: KNN(distance_measure=ManhattanDistanceMeasure, k_nearest=3, reshape=(14, 14)) [skip: 4000]
